UUID,Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format,Variety,Designed In,Made In
436,Olympus,M.Zuiko Digital ED 17mm f/1.2 PRO,2018,1199,390,87,68.2,1.2,17,0,0,0,Micro Four Thirds,Normal,Japan,Japan
437,Olympus,M.Zuiko Digital ED 75mm f/1.8,2012,749,305,69.1,64,1.8,75,0,0,0,Micro Four Thirds,Medium Telephoto,Japan,
438,Olympus,M.Zuiko Digital ED 45mm f/1.2 PRO,2017,1199,410,84.9,70,1.2,45,0,0,0,Micro Four Thirds,Short Telephoto,Japan,Japan
439,Olympus,M.Zuiko Digital 45mm f/1.8,2011,249,116,46,56,1.8,45,0,0,0,Micro Four Thirds,Short Telephoto,Japan,
440,Olympus,M.Zuiko Digital 17mm f/1.8,2013,349,120,35.5,57.5,1.8,17,0,0,0,Micro Four Thirds,Normal,Japan,
441,Panasonic,Leica DG Summilux 25mm f/1.4 ASPH,2011,598,200,54.5,63,1.4,25,0,0,0,Micro Four Thirds,Normal,Japan,
442,Panasonic,Leica DG Summilux 12mm f/1.4 ASPH,2016,1298,335,70,70,1.4,12,0,0,0,Micro Four Thirds,Wide Angle,Japan,
443,Panasonic,Leica DG Nocticron 42.5mm f/1.2 ASPH POWER OIS,2014,1598,425,76.8,74,1.2,42.5,0,1,0,Micro Four Thirds,Short Telephoto,Japan,
444,Nikon,AF-S Nikkor 180-400mm f/4E TC1.4 FL ED VR,2018,12400,3500,363,128,4,180-400,1,1,0,Full-Frame,Supertelephoto,Japan,Japan
445,Sigma,24-105mm f/4 DG OS HSM Art,2013,899,885,109.2,88.9,4,24-105,1,1,0,Full-Frame,Normal,Japan,Japan
446,Leica,APO-Summicron-SL 75mm f/2 ASPH,2018,4750,720,102,73,2,75,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
447,Leica,APO-Summicron-SL 90mm f/2 ASPH,2018,5150,700,102,73,2,90,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
448,Leica,Noctilux-M 75mm f/1.25 ASPH,2017,12795,1055,91,74,1.25,75,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
449,Sigma,14-24mm f/2.8 DG HSM Art,2018,1299,1150,135.1,96.4,2.8,14-24,1,0,0,Full-Frame,Ultra Wide Angle,Japan,Japan
450,Zeiss,Loxia 25mm f/2.4,2018,1299,393,74.5,62,2.4,25,0,0,0,Full-Frame,Wide Angle,Germany,Japan
451,Samyang,XP 50mm f/1.2,2018,999,1300,117.4,93,1.2,50,0,0,0,Full-Frame,Normal,Korea,Korea
452,Tamron,70-210mm f/4 Di VC USD,2018,799,859,175.3,76,4,70-210,1,1,0,Full-Frame,Telephoto,Japan,Japan
453,Tokina,FiRIN 20mm f/2 FE AF,2018,,464,81.5,73.4,2,20,0,0,0,Full-Frame,Ultra Wide Angle,Japan,Japan
454,Mitakon Zhongyi,Speedmaster 50mm f/0.95,2014,799,720,87,68.5,0.95,50,0,0,0,Full-Frame,Normal,China,China
455,Mitakon Zhongyi,Speedmaster 85mm f/1.2,2015,699,921,96,83,1.2,85,0,0,0,Full-Frame,Short Telephoto,China,China
456,Olympus,M.Zuiko Digital ED 300mm f/4 IS PRO,2016,2499,1475,227,92.5,4,300,0,1,0,Micro Four Thirds,Supertelephoto,Japan,
457,Olympus,M.Zuiko Digital ED 12-40mm f/2.8 PRO,2013,799,382,84,69.9,2.8,12-40,1,0,0,Micro Four Thirds,Normal,Japan,
458,Olympus,M.Zuiko Digital ED 7-14mm f/2.8 PRO,2015,1099,534,105.8,78.9,2.8,7-14,1,0,0,Micro Four Thirds,Ultra Wide Angle,Japan,
459,Panasonic,Lumix G Vario 7-14mm f/4 ASPH.,2009,797,301,83.1,75,4,7-14,1,0,0,Micro Four Thirds,Ultra Wide Angle,Japan,
460,Panasonic,Leica DG Vario-Elmarit 8-18mm f/2.8-4 ASPH.,2017,1097,315,88,73.4,2.8-4,8-18,1,0,0,Micro Four Thirds,Wide Angle,Japan,
461,Panasonic,Lumix G X Vario 12-35mm f/2.8 ASPH. POWER O.I.S.,2012,,305,73.8,67.6,2.8,12-35,1,1,0,Micro Four Thirds,Normal,Japan,
462,Panasonic,Lumix G X Vario 12-35mm f/2.8 II ASPH. POWER O.I.S.,2017,898,305,73.8,67.6,2.8,12-35,1,1,0,Micro Four Thirds,Normal,Japan,
463,Panasonic,Lumix G X Vario 35-100mm f/2.8 II Power O.I.S.,2017,998,357,99.9,67.4,2.8,35-100,1,1,0,Micro Four Thirds,Telephoto,Japan,
464,Panasonic,Leica DG Vario-Elmarit 50-200mm f/2.8-4 ASPH POWER O.I.S.,2018,1698,655,132,76,2.8-4,50-200,1,1,0,Micro Four Thirds,Supertelephoto,Japan,
465,Voigtlander,Nokton 58mm f/1.4 SL II S,2007,599,320,45.5,67.6,1.4,58,0,0,0,Full-Frame,Normal,Japan,Japan
466,Voigtlander,Nokton 50mm f/1.2 Aspherical,2018,,,,,1.2,50,0,0,0,Full-Frame,Normal,Japan,Japan
467,Voigtlander,Macro-Apo-Lanthar 110mm f/2.5,2018,,,99.7,78.4,2.5,110,0,0,0,Full-Frame,Telephoto,Japan,Japan
468,Voigtlander,Color-Skopar 21mm f/3.5 Aspherical,2018,,,39.9,62.8,3.5,21,0,0,0,Full-Frame,Ultra Wide Angle,Japan,Japan
469,Tokina,Opera 50mm f/1.4 FF,2018,,,,,1.4,50,0,0,0,Full-Frame,Normal,Japan,Japan
470,Sigma,70mm f/2.8 DG Macro Art,2018,,515,105.8,70.8,2.8,70,0,0,0,Full-Frame,Macro,Japan,Japan
471,Venus,Laowa 9mm f/2.8 Zero-D,2018,,215,,,2.8,9,0,0,0,APS-C,Ultra Wide Angle,China,China
472,Venus,Laowa 25mm f/2.8 Macro,2018,,400,,,2.8,25,0,0,0,Full-Frame,Macro,China,China
473,Canon,CN-E 20mm T1.5 L F,2018,4220,1200,118.4,118.4,1.5,20,0,0,1,Full-Frame,Ultra Wide Angle,Japan,Japan
474,Meyer-Optik Gorlitz,Trioplan 100mm f/2.8,2015,1599,,,,2.8,100,0,0,0,Full-Frame,Telephoto,,
475,Meyer-Optik Gorlitz,Trioplan 50mm f/2.9,2016,1499,200,,,2.9,50,0,0,0,Full-Frame,Normal,,
476,Meyer-Optik Gorlitz,P75 75mm f/1.9,2017,1999,300,,,1.9,75,0,0,0,Crop Medium Format Digital,Normal,,
477,Meyer-Optik Gorlitz,P58 58mm f/1.9,2018,1599,200,,,1.9,58,0,0,0,Full-Frame,Normal,,
478,Meyer-Optik Gorlitz,Nocturnus III 50mm F0.95,2018,3000,790,,,0.95,50,0,0,0,Full-Frame,Normal,,
479,NiSi,F3 25mm T2.1,2018,3000,1330,117,95,2.1,25,0,0,1,Full-Frame,Wide Angle,China,China
480,NiSi,F3 35mm T2,2018,2500,1280,117,95,2,35,0,0,1,Full-Frame,Normal,China,China
481,NiSi,F3 50mm T2,2018,2500,1230,117,95,2,50,0,0,1,Full-Frame,Normal,China,China
482,NiSi,F3 75mm T2,2018,2500,1120,117,95,2,75,0,0,1,Full-Frame,Normal,China,China
483,NiSi,F3 100mm T2,2018,3000,1230,117,95,2,100,0,0,1,Full-Frame,Telephoto,China,China
