UUID,Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format,Variety,Designed In,Made In
103,Leica,35mm f/1.4 Summilux-M Aspherical,2010,4532,320,46,56,1.4,35,0,0,0,Full-Frame,Wide Angle,Germany,Germany
104,Leica,50mm f/2.5 Summarit-M,2007,1369,230,33,51,2.5,50,0,0,0,Full-Frame,Normal,Germany,Germany
105,Leica,50mm f/2.4 Summarit-M,2014,1716,190,33,52,2.4,50,0,0,0,Full-Frame,Normal,Germany,Germany
106,Leica,50mm f/2 Summicron-M,1994,2068,240.09,43.18,53.34,2,50,0,0,0,Full-Frame,Normal,Germany,Germany
107,Leica,50mm f/2 Apo-Summicron-M Aspherical,2012,7260,300,47,53,2,50,0,0,0,Full-Frame,Normal,Germany,Germany
108,Leica,50mm f/1.4 Summilux-M Aspherical,2004,3515.6,335,52.5,53.5,1.4,50,0,0,0,Full-Frame,Normal,Germany,Germany
109,Leica,50mm f/0.95 Noctilux-M Aspherical,2008,9675.6,700,75.1,73,0.95,50,0,0,0,Full-Frame,Normal,Germany,Germany
110,Leica,75mm f/2.5 Summarit-M,2007,1395,345,60.5,55,2.5,75,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
111,Leica,75mm f/2.4 Summarit-M,1996,1892,325,60.5,55,2.4,75,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
112,Leica,75mm f/2 Apo-Summicron-M,2005,3339.6,430,67,58,2,75,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
113,Leica,90mm f/4 Macro-Elmar,1996,3212,230,59,52,4,90,0,0,0,Full-Frame,Macro,Germany,Germany
114,Leica,90mm f/2.4 Summarit-M,2008,2068,346,67,55,2.4,90,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
115,Leica,90mm f/2 Apo-Summicron-M Aspherical,1998,3515.6,498.3,78.74,63.5,2,90,0,0,0,Full-Frame,Short Telephoto,Germany,Germany
116,Leica,135mm f/3.4 Apo-Telyt-M,1998,3388,453,104.14,5.842,3.4,135,0,0,0,Full-Frame,Medium Telephoto,Germany,Germany
117,Leica,Vario-Elmarit-SL 24-90mm f/2.8-4 Asph,2015,4950,1140,138,88,4,24-90,1,1,0,Full-Frame,Normal,Germany,Germany
118,Leica,Apo-Vario-Elmarit-SL 90-280mm f/2.8-4,2015,6350,1850,238,88,4,90-280,1,1,0,Full-Frame,Telephoto,Germany,Germany
119,Leica,Summaron-M 28mm f/5.6,2016,2495,165,18,51,5.6,28,0,0,0,Full-Frame,Wide Angle,Germany,Germany
120,Mitakon Zhongyi,FreeWalker 24mm f/1.7 ,2014,349,246,55.118,61.468,1.7,24,0,0,0,APS-C,Wide Angle,China,China
121,Mitakon Zhongyi,Speedmaster 25mm f/0.95,2015,399,230,44.958,59.944,0.95,25,0,0,0,Micro Four Thirds,Normal,China,China
122,Mitakon Zhongyi,FreeWalker 42.5mm f/1.2 ,2014,399,310,52.578,59.944,1.2,42.5,0,0,0,Micro Four Thirds,Short Telephoto,China,China
123,Nikon,AF-S Nikkor 20mm f/1.8G ED,2014,797,357,78.74,81.28,1.8,20,0,0,0,Full-Frame,Wide Angle,Japan,
124,Nikon,AF-S Nikkor 24mm f/1.4G ED,2010,1997,620,88.9,83.82,1.4,24,0,0,0,Full-Frame,Wide Angle,Japan,
125,Nikon,PC-E Nikkor 24mm f/3.5D ED Tilt-Shift,2008,2197,730,107.95,82.55,3.5,24,0,0,0,Full-Frame,Tilt Shift,Japan,
126,Nikon,AF-S Nikkor 28mm f/1.8G,2012,697,330,81.28,73.66,1.8,28,0,0,0,Full-Frame,Wide Angle,Japan,
127,Nikon,AF-S Nikkor 35mm f/1.8G ED,2014,527,305,71.374,71.882,1.8,35,0,0,0,Full-Frame,Wide Angle,Japan,
128,Nikon,AF-S Nikkor 35mm f/1.4G,2010,1697,601,89.408,83.058,1.4,35,0,0,0,Full-Frame,Wide Angle,Japan,
129,Nikon,PC-E Micro-Nikkor 45mm f/2.8D ED Tilt-Shift,2008,2047,740,112.014,82.55,2.8,45,0,0,0,Full-Frame,Tilt Shift,Japan,
130,Nikon,AF-S Nikkor 50mm f/1.8G,2011,217,185,53.34,71.12,1.8,50,0,0,0,Full-Frame,Normal,Japan,
131,Nikon,AF-S Nikkor 50mm f/1.4G,2008,447,281,53.34,73.66,1.4,50,0,0,0,Full-Frame,Normal,Japan,
132,Nikon,AF-S Nikkor 58mm f/1.4G,2013,1597,385,70.104,85.09,1.4,58,0,0,0,Full-Frame,Normal,Japan,
133,Nikon,AF-S Micro-Nikkor 60mm f/2.8G ED Lens,2008,597,425,88.9,73.66,2.8,60,0,0,0,Full-Frame,Macro,Japan,
134,Nikon,AF-S Nikkor 85mm f/1.8G,2012,497,350,73.66,78.74,1.8,85,0,0,0,Full-Frame,Short Telephoto,Japan,
135,Nikon,AF-S Nikkor 85mm f/1.4G,2010,1597,595,83.82,86.36,1.4,85,0,0,0,Full-Frame,Short Telephoto,Japan,
136,Nikon,PC-E Micro-Nikkor 85mm f/2.8D Tilt-Shift,2008,1977,635,106.934,83.566,2.8,85,0,0,0,Full-Frame,Tilt Shift,Japan,
137,Nikon,AF-S VR Micro-Nikkor 105mm f/2.8G IF-ED,2006,897,720,116.84,83.82,2.8,105,0,1,0,Full-Frame,Macro,Japan,
138,Nikon,AF-S Nikkor 200mm f/2G ED VR II,2010,5697,2930,203.2,124.46,2,200,0,1,0,Full-Frame,Medium Telephoto,Japan,
139,Nikon,AF-S Nikkor 300mm f/4E PF ED VR,2015,1997,755,147.574,88.9,4,300,0,1,0,Full-Frame,Long Telephoto,Japan,
